City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
272,lib,8.3122,167.3766,301.01,84,100,9.16,MH,1715282548
273,machico,32.7,-16.7667,295.77,75,20,7.2,PT,1715282549
274,cheria,35.2731,7.7519,285.27,67,45,8.81,DZ,1715282550
275,muzo,5.5353,-74.1078,297.39,95,96,1.4,CO,1715282551
276,puerto armuelles,8.2833,-82.8667,305.14,77,82,1.79,PA,1715282552
277,labrador city,52.9463,-66.9114,282.1,33,0,4.92,CA,1715282411
278,colonia menno,-22.3667,-59.8167,289.79,83,100,3.19,PY,1715282554
279,island harbour,50.724,-1.2758,290.19,75,11,2.68,GB,1715282555
280,zhezqazghan,47.7833,67.7667,287.98,62,100,4.51,KZ,1715282556
281,achacachi,-16.05,-68.6833,285.81,54,26,4.86,BO,1715282557
282,la sierpe,2.8518,-77.6155,299.7,84,100,0.98,CO,1715282558
283,inhambane,-23.865,35.3833,293.14,88,0,0.0,MZ,1715282559
284,azadshahr,34.7909,48.5707,279.42,81,20,1.03,IR,1715282560
285,port elizabeth,-33.918,25.5701,289.31,93,20,1.03,ZA,1715282561
286,picota,-6.9197,-76.3304,300.42,48,100,1.25,PE,1715282562
287,les essarts-le-roi,48.7167,1.9009,291.25,66,32,2.57,FR,1715282564
288,honggang,46.4667,124.8667,286.09,48,100,7.52,CN,1715282565
289,fortaleza,-3.7227,-38.5247,303.27,70,20,7.72,BR,1715282566
290,suva,-18.1416,178.4415,291.86,94,20,2.57,FJ,1715282567
291,pind dadan khan,32.5879,73.0456,305.46,26,100,2.51,PK,1715282568
292,carnarvon,-24.8667,113.6333,296.46,70,100,2.26,AU,1715282569
293,conduaga,8.862,117.4893,298.7,86,8,1.61,PH,1715282570
294,narasannapeta,18.4167,84.05,301.51,81,9,2.23,IN,1715282571
295,wewak,-3.5534,143.6268,298.84,89,99,1.35,PG,1715282572
296,kolda,12.8833,-14.95,312.32,30,0,1.03,SN,1715282573
297,susuman,62.7833,148.1667,272.58,86,99,1.79,RU,1715282574
298,canutama,-6.5339,-64.3831,308.52,41,64,3.34,BR,1715282575
299,ubari,26.5921,12.7805,299.5,21,44,4.08,LY,1715282576
300,dalai,45.5,124.3,283.25,80,100,7.33,CN,1715282577
301,poronaysk,49.2167,143.1167,278.27,84,100,1.58,RU,1715282579
302,maragogi,-9.0122,-35.2225,299.9,77,99,4.75,BR,1715282580
303,huatabampo,26.8333,-109.6333,305.32,15,23,5.49,MX,1715282580
304,colon,9.3592,-79.9014,303.37,69,87,3.07,PA,1715282581
305,kavaratti,10.5669,72.642,303.53,70,100,4.99,IN,1715282582
306,kuna,43.4918,-116.4201,291.86,45,0,3.09,US,1715282584
307,wamba,8.9333,8.6,303.22,55,17,1.2,NG,1715282584
308,arteche,12.2645,125.4048,299.09,82,88,2.28,PH,1715282585
309,al mindak,20.1588,41.2834,296.93,53,1,0.99,SA,1715282586
310,nuku'alofa,-21.1333,-175.2,297.34,69,20,3.09,TO,1715282587
311,same,-4.0667,37.7333,293.96,83,83,2.02,TZ,1715282588
312,laascaanood,8.4774,47.3597,305.33,37,98,4.26,SO,1715282588
313,westport,41.1415,-73.3579,293.41,54,0,4.63,US,1715282482
314,kolonia town,6.964,158.206,301.28,79,100,8.26,FM,1715282590
315,lorengau,-2.0226,147.2712,299.04,89,100,2.79,PG,1715282591
316,bela,25.9333,81.9833,303.24,44,0,4.36,IN,1715282592
317,praia da vitoria,38.7333,-27.0667,294.29,60,20,2.02,PT,1715282593
318,salalah,17.0151,54.0924,304.2,74,75,4.12,OM,1715282594
319,kingston,17.997,-76.7936,304.68,70,20,5.66,JM,1715282595
320,nyrob,60.733,56.7202,270.05,91,75,3.12,RU,1715282596
321,touba,8.2833,-7.6833,300.22,66,83,0.86,CI,1715282597
322,kroya,-7.6331,109.2461,298.28,92,6,0.58,ID,1715282598
323,sitka,57.0531,-135.33,285.09,76,100,8.23,US,1715282599
324,louis trichardt,-23.0439,29.9032,288.1,46,0,0.81,ZA,1715282601
325,san antonio de pale,-1.4014,5.6325,300.1,88,100,5.19,GQ,1715282602
326,azangaro,-14.9167,-70.2167,289.57,25,6,0.69,PE,1715282603
327,yokaichiba,35.7,140.55,279.33,93,0,0.51,JP,1715282604
328,sinabang,2.4803,96.3801,299.94,86,100,0.42,ID,1715282604
329,mejit,10.2753,170.8646,300.51,83,62,9.15,MH,1715282605
330,licata,37.1071,13.9461,291.01,81,98,4.56,IT,1715282606
331,songjianghe,42.1859,127.479,282.26,80,100,2.62,CN,1715282607
332,twon-brass,4.3151,6.2418,301.6,80,100,3.76,NG,1715282608
333,strezhevoy,60.7333,77.5889,283.69,77,100,5.81,RU,1715282609
334,antonio enes,-16.2325,39.9086,298.22,76,0,3.6,MZ,1715282610
335,vredendal,-31.6683,18.5012,286.18,80,0,2.77,ZA,1715282611
336,east london,-33.0153,27.9116,294.21,82,3,0.66,ZA,1715282611
337,jamtara,23.95,86.8,297.52,75,88,3.18,IN,1715282612
338,faya-largeau,17.9257,19.1043,310.76,10,5,2.94,TD,1715282613
339,tsumeb,-19.2333,17.7167,295.98,27,0,3.41,NA,1715282614
340,port macquarie,-31.4333,152.9167,286.98,70,100,1.53,AU,1715282615
341,waterford,42.7023,-83.4027,287.96,69,100,4.12,US,1715282317
342,ulsteinvik,62.3432,5.8487,281.99,77,51,4.92,NO,1715282617
343,jinxiang,27.4327,120.6062,288.6,84,100,1.85,CN,1715282618
344,udachny,66.4167,112.4,263.86,93,91,2.53,RU,1715282619
345,chibougamau,49.9168,-74.3659,285.94,38,100,3.09,CA,1715282620
346,huarmey,-10.0681,-78.1522,295.89,76,16,5.3,PE,1715282622
347,ugoofaaru,5.6667,73.0,302.09,80,100,5.18,MV,1715282623
348,chilliwack,49.1747,-121.9443,297.83,36,15,2.06,CA,1715282624
349,fisterra,42.9049,-9.2629,291.05,69,44,3.8,ES,1715282625
350,homer,59.6425,-151.5483,278.08,73,75,5.14,US,1715282627
351,la'ie,21.6477,-157.9253,300.13,86,10,1.34,US,1715282628
